curing_temp,fine_aggregate,hrwr_dosage,scm_replacement_pct,total_binder,w_b_ratio,curing_age_days,data_source,f_c_psi_pred,f_c_psi_sd,f_c_psi_des
22.0,1865.2544750086201,9.427756729501548,49.08927409561702,691.9155181794727,0.197,28.0,OurLab,8742.461850887454,1683.5808501615613,8742.461850887454
22.0,2113.168891465747,13.605625190107009,58.36032595986144,809.2341440491152,0.197,5.0,OurLab,7964.919105689919,1511.4122482878824,7964.919105689919
22.0,1429.0807467302363,6.974889619638546,35.28683340006673,637.012979926785,0.197,28.0,OurLab,7928.073626676893,1989.8811086276583,7928.073626676893
21.67308114875101,1641.4160587732154,12.00411548382319,57.489618603618084,749.0743617243148,0.197,5.0,OurLab,7427.429039448611,1749.7117283613425,7427.429039448611
